DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
D00101,95,200,0.7,1220,325,225,JQ
D00101,90,205,0.7,1220,315,225,JQ
D00101,85,210,0.9,1290,430,225,JQ
D00101,85,210,0.9,1290,430,225,JQ
D00101,85,240,0.6,1215,360,150,JQ
D00101,85,210,0.9,1290,430,225,JQ
D00101,85,210,0.9,1290,430,225,JQ
D00101,82,200,0.9,1275,0,210,JQ
D00101,85,200,0.9,1295,0,210,JQ
D00101,85,205,0.9,1285,0,210,JQ
D00101,85,210,0.9,1285,0,210,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,80,215,0.8,1215,360,170,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.8,1290,0,230,JQ
D00101,85,205,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,90,215,0.6,1200,360,170,JQ
D00101,85,210,0.9,1285,0,230,JQ
D00101,85,210,0.9,1280,0,230,JQ
D00101,100,215,0.9,1290,430,225,JQ
D00101,85,210,0.9,1240,450,230,JQ
D00101,85,210,0.9,1240,450,230,JQ
D00101,85,210,0.9,1290,0,230,JQ
D00101,90,210,0.6,1150,380,170,JQ
D00101,80,190,0.8,1150,380,160,JQ
D00101,85,210,0.8,1250,0,210,JQ
D00101,85,210,0.9,1290,0,210,JQ
D00104,100,245,0.6,1160,400,200,JQ
D00104,86,240,0.6,1160,400,170,JQ
D00104,75,210,0.9,1160,370,170,JQ
D00107,108,250,0.6,1120,0,230,JQ
D00107,100,240,0.6,1150,0,200,JQ
D00107,75,220,0.65,1180,0,170,JQ
D00107,87,230,0.6,1170,0,170,JQ
D00107,90,240,0.6,1170,0,175,JQ
D00112,75,220,0.6,1020,320,175,JQ
D00112,70,225,0.6,1050,330,160,JQ
D00112,60,205,0.7,1053,330,160,JQ
D00115,120,70,0.6,1010,385,140,JQ
D00115,130,70,0.6,1000,385,160,JQ
D00115,120,70,0.6,1000,385,140,JQ
D00119,135,225,0.6,1155,410,175,JQ
D00119,120,220,0.7,1190,370,180,JQ
D00119,140,250,0.6,1215,360,195,JQ
D00119,135,250,0.6,1260,340,195,JQ
D00119,140,235,0.6,1180,300,195,JQ
D00119,125,205,0.45,1170,295,195,JQ
D00121,135,230,0.6,1090,340,170,JQ
D00121,125,200,0.5,1070,0,215,JQ
D00121,125,200,0.5,1070,0,215,JQ
D00121,115,205,0.6,1090,350,220,JQ
D00121,115,214,0.5,1070,360,215,JQ
D00121,115,214,0.5,1070,360,215,JQ
D00121,118,100,0.55,1070,330,215,JQ
D00121,125,205,0.55,1070,330,225,JQ
D00121,125,205,0.55,1070,330,225,JQ
D00121,120,205,0.55,1040,320,225,JQ
D00121,120,205,0,1055,330,0,JQ
D00121,135,214,0.5,1090,350,180,JQ
D00121,120,205,0.55,1055,335,225,JQ
D00121,120,205,0.55,1055,335,225,JQ
