,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
286,D00063,46.0,226.0,0.6,1170,360.0,180.0,JQ
287,D00063,44.0,224.0,0.6,1180,355.0,175.0,JQ
288,D00063,44.0,220.0,0.6,1195,350.0,170.0,JQ
289,D00063,44.0,230.0,0.8,1195,350.0,170.0,JQ
290,D00063,44.0,220.0,0.7,1180,355.0,175.0,JQ
291,D00063,44.0,220.0,0.7,1180,355.0,175.0,JQ
292,D00063,44.0,230.0,0.7,1180,355.0,175.0,JQ
293,D00063,44.0,220.0,0.7,1180,355.0,175.0,JQ
294,D00063,44.0,220.0,0.75,1180,360.0,175.0,JQ
295,D00063,44.0,220.0,0.7,1180,356.7,180.0,JQ
296,D00063,46.0,225.0,0.7,1210,365.0,180.0,JQ
297,D00063,48.0,220.0,0.7,1210,355.0,185.0,JQ
298,D00063,46.0,220.0,0.7,1210,355.0,170.0,JQ
299,D00063,44.0,215.0,0.7,1210,355.0,165.0,JQ
300,D00063,44.0,220.0,0.7,1170,345.0,180.0,JQ
301,D00067,60.0,130.0,0.7,1160,380.0,180.0,JQ
302,D00067,55.0,125.0,0.6,1150,370.0,220.0,JQ
303,D00067,65.0,130.0,0.7,1160,380.0,170.0,JQ
304,D00067,55.0,130.0,0.7,1160,380.0,170.0,JQ
305,D00067,59.0,130.0,0.7,1170,345.0,191.4,JQ
306,D00067,65.0,143.0,0.6,1170,380.0,180.0,JQ
307,D00067,55.0,125.0,0.6,1160,380.0,170.0,JQ
308,D00067,55.0,125.0,0.6,1160,385.0,220.0,JQ
309,D00067,65.0,140.0,0.6,1160,385.0,230.0,JQ
310,D00067,55.0,125.0,0.6,1160,385.0,220.0,JQ
311,D00067,10.0,10.0,10.0,10,10.0,10.0,TX
312,D00068,132.0,195.0,0.75,1150,360.0,200.0,JQ
313,D00068,122.0,200.0,0.85,1200,340.0,185.0,JQ
314,D00068,120.0,192.0,0.8,1200,340.0,180.0,JQ
315,D00068,110.0,190.0,1.0,1300,360.0,160.0,JQ
316,D00068,105.0,195.0,1.1,1300,375.0,160.0,JQ
317,D00068,100.0,200.0,1.2,1340,375.0,145.0,JQ
318,D00068,95.0,200.0,1.35,1370,355.0,135.0,JQ
319,D00068,100.0,220.0,1.7,1620,430.0,130.0,JQ
